113406.94, 5350.1436728, N, 1738.7779226, E, Depth: 2.02, X: -149.918, Y: -78.504
113406.99, 5350.1436206, N, 1738.7778842, E, Depth: 2.02, X: -150.016, Y: -78.546
113407.04, 5350.1435678, N, 1738.7778458, E, Depth: 2.02, X: -150.113, Y: -78.588
113407.09, 5350.1435156, N, 1738.7778074, E, Depth: 2.02, X: -150.21, Y: -78.63
113407.14, 5350.1434640, N, 1738.7777672, E, Depth: 2.02, X: -150.305, Y: -78.674
113407.19, 5350.1434124, N, 1738.7777276, E, Depth: 2.02, X: -150.401, Y: -78.718
113407.24, 5350.1433608, N, 1738.7776880, E, Depth: 2.02, X: -150.497, Y: -78.761
113407.29, 5350.1433092, N, 1738.7776484, E, Depth: 2.02, X: -150.593, Y: -78.805
113407.34, 5350.1432570, N, 1738.7776112, E, Depth: 2.01, X: -150.689, Y: -78.846
113407.39, 5350.1432048, N, 1738.7775728, E, Depth: 2.01, X: -150.786, Y: -78.888
113407.44, 5350.1431532, N, 1738.7775350, E, Depth: 2.01, X: -150.882, Y: -78.93
113407.49, 5350.1431010, N, 1738.7774966, E, Depth: 2.01, X: -150.979, Y: -78.971
113407.54, 5350.1430488, N, 1738.7774588, E, Depth: 2.01, X: -151.076, Y: -79.013
113407.59, 5350.1429966, N, 1738.7774210, E, Depth: 2.01, X: -151.172, Y: -79.054
113407.64, 5350.1429444, N, 1738.7773832, E, Depth: 2.01, X: -151.269, Y: -79.096
113407.69, 5350.1428922, N, 1738.7773448, E, Depth: 2.01, X: -151.366, Y: -79.138
113407.74, 5350.1428388, N, 1738.7773052, E, Depth: 2.01, X: -151.465, Y: -79.181
113407.79, 5350.1427860, N, 1738.7772662, E, Depth: 2.01, X: -151.563, Y: -79.224
113407.84, 5350.1427332, N, 1738.7772272, E, Depth: 2.01, X: -151.661, Y: -79.267
113407.89, 5350.1426804, N, 1738.7771882, E, Depth: 2.01, X: -151.759, Y: -79.31
