103944.60, 5350.11512, N, 01738.87452, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103944.80, 5350.11512, N, 01738.87452, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103945.00, 5350.11511, N, 01738.87452, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103945.20, 5350.11511, N, 01738.87453, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103945.40, 5350.11511, N, 01738.87453, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103945.60, 5350.11511, N, 01738.87453, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103945.80, 5350.11510, N, 01738.87453, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103946.00, 5350.11510, N, 01738.87454, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103946.20, 5350.11510, N, 01738.87454, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103946.40, 5350.11509, N, 01738.87455, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103946.60, 5350.11509, N, 01738.87455, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103946.80, 5350.11509, N, 01738.87455, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103947.00, 5350.11508, N, 01738.87456, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103947.20, 5350.11508, N, 01738.87455, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103947.40, 5350.11508, N, 01738.87456, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103947.60, 5350.11508, N, 01738.87456, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103947.80, 5350.11508, N, 01738.87456, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103948.00, 5350.11508, N, 01738.87457, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103948.20, 5350.11507, N, 01738.87457, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103948.40, 5350.11507, N, 01738.87458, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103948.60, 5350.11507, N, 01738.87458, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103948.80, 5350.11507, N, 01738.87459, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103949.00, 5350.11506, N, 01738.87459, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103949.20, 5350.11507, N, 01738.87459, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103949.40, 5350.11506, N, 01738.87460, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103949.60, 5350.11505, N, 01738.87460, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103949.80, 5350.11505, N, 01738.87460, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103950.00, 5350.11505, N, 01738.87461, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103950.20, 5350.11504, N, 01738.87461, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103950.40, 5350.11503, N, 01738.87461, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103950.60, 5350.11503, N, 01738.87461, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103950.80, 5350.11503, N, 01738.87462, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
