102057.60, 5350.15608, N, 01738.90321, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.26',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102057.80, 5350.15608, N, 01738.90321, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.26',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102058.00, 5350.15609, N, 01738.90320, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.26',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102058.20, 5350.15609, N, 01738.90320, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.27',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102058.40, 5350.15609, N, 01738.90320, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.27',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102058.60, 5350.15610, N, 01738.90320, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.27',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102058.80, 5350.15610, N, 01738.90320, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.27',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102059.00, 5350.15610, N, 01738.90320, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.27',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102059.20, 5350.15610, N, 01738.90320, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.27',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102059.40, 5350.15611, N, 01738.90319, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.27',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102059.60, 5350.15611, N, 01738.90319, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.27',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102059.80, 5350.15611, N, 01738.90319, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.27',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102100.00, 5350.15611, N, 01738.90318, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.27',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102100.20, 5350.15611, N, 01738.90318, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.27',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102100.40, 5350.15611, N, 01738.90317, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.27',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
